visit_id,provider_id,provider_type_raw,jurisdiction_raw,region_raw,rural_urban_raw,enrollment_year,visit_date_raw,scheduled_visit_year,doses_administered,staff_turnover,prior_technical_assistance,site_visit_delay_days,raw_prior_noncompliance_flag,training_compliant,eligibility_compliant,documentation_compliant,inventory_compliant,storage_handling_compliant
V000300,P00082,private clinic ,Georgia,Southeast,Rural,2016,2021-02-02,2021,1533.0,1,0,40,1,Non-compliant,Non-compliant,Non-compliant,Missing,Compliant
V002492,P00739,Public Health Clinic,Alabama,Southeast,Urban,2015,2020-08-11,2020,2180.0,0,0,25,0,Compliant,Compliant,Compliant,Compliant,Compliant
V004459,P01303,Public Health Clinic,Alabama,Southeast,Urban,2017,2024-11-13,2024,5365.0,1,0,29,0,Compliant,Compliant,Non-compliant,Compliant,Compliant
V001056,P00304,FQHC,Texas,South Central,Urban,2013,2022-08-18,2022,909.0,0,1,14,1,Compliant,Compliant,Compliant,Non-compliant,Compliant
V000393,P00115,private clinic ,Virginia,Mid-Atlantic,Urban,2012,2019-02-01,2019,1119.0,0,0,7,0,Non-compliant,Compliant,Compliant,Compliant,Compliant
V001078,P00310,Public Health Clinic,North Carolina,Southeast,Urban,2011,2025-08-08,2025,8498.0,0,0,16,0,Compliant,Compliant,Compliant,Compliant,Compliant
V000893,P00255,Pediatric Practice,Virginia,Mid-Atlantic,Urban,2018,2021-10-26,2021,1698.0,1,0,25,0,Missing,Compliant,Compliant,Compliant,Missing
V001010,P00291,Hospital System,North Carolina,Southeast,Suburban,2024,2024-05-11,2024,4129.0,0,0,34,1,Non-compliant,Non-compliant,Compliant,Non-compliant,Compliant
V002246,P00667,FQHC,Texas,South Central,Urban,2017,2022-06-21,2022,-99.0,0,0,33,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V003966,P01156,Private Clinic,Kentucky,Southeast,Urban,2015,2025-02-17,2025,1287.0,0,0,34,1,Compliant,Compliant,Compliant,Non-compliant,Non-compliant
V001372,P00394,Public Health Clinic,Kentucky,Southeast,Urban,2020,2024-11-09,2024,4688.0,0,0,22,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001598,P00466,Private Clinic,South Carolina,Southeast,Suburban,2016,2022-01-04,2022,1560.0,0,1,30,1,Compliant,Non-compliant,Non-compliant,Non-compliant,Compliant
V002350,P00700,Private Clinic,Virginia,Mid-Atlantic,Rural,2011,2021-12-10,2021,2368.0,0,0,42,1,Compliant,Compliant,Compliant,Compliant,Compliant
V002491,P00738,Private Clinic,Arkansas,South Central,Urban,2012,2023-12-14,2023,2208.0,1,0,26,1,Non-compliant,Compliant,Compliant,Compliant,Non-compliant
V004138,P01210,Pharmacy,North Carolina,Southeast,Rural,2024,2020-09-24,2020,767.0,0,0,46,0,Compliant,Compliant,Compliant,Compliant,Missing
V000321,P00087,private clinic ,Mississippi,Southeast,Urban,2014,2023-06-10,2023,1197.0,0,0,19,1,Compliant,Compliant,Compliant,Compliant,Compliant
V001780,P00518,Pharmacy,North Carolina,Southeast,Urban,2011,2021-11-02,2021,912.0,0,0,9,0,Missing,Compliant,Compliant,Compliant,Compliant
V000079,P00026,Priv Clinic,Florida,Southeast,Urban,2012,2020-02-12,2020,1482.0,1,0,36,0,Missing,Compliant,Compliant,Compliant,Compliant
V003513,P01027,Public Health Clinic,South Carolina,Southeast,Suburban,2015,2024-12-18,2024,2060.0,0,0,37,0,Compliant,Compliant,Compliant,Compliant,Compliant
V003954,P01153,public health clinic,Florida,Southeast,Urban,2022,2022-03-27,2022,6426.0,0,1,0,1,Compliant,Compliant,Compliant,Compliant,Compliant
V002904,P00851,Private Clinic,Florida,Southeast,Urban,2021,2024-10-26,2024,2121.0,0,1,3,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V000949,P00270,Public clinic,Texas,South Central,Urban,2017,2023-12-27,2023,4784.0,0,1,8,1,Compliant,Missing,Compliant,Compliant,Compliant
V000063,P00021,Public Health Clinic,Georgia,Southeast,Rural,2017,2022-02-12,2022,5514.0,1,0,21,0,Compliant,Compliant,Missing,Compliant,Compliant
V001041,P00300,FQHC,Mississippi,Southeast,Urban,2020,2020-04-12,2020,1690.0,0,1,38,1,Compliant,Compliant,Compliant,Compliant,Compliant
V003128,P00914,Public Health Clinic,Alabama,Southeast,Rural,2024,2025-02-23,2025,3338.0,0,1,21,1,Compliant,Compliant,Compliant,Compliant,Compliant
V000743,P00214,Pharmacy,Kentucky,Southeast,Rural,2021,2025-11-16,2025,1537.0,0,0,28,1,Non-compliant,Non-compliant,Non-compliant,Compliant,Compliant
V000153,P00045,Public Health Clinic,Texas,South Central,Rural,2017,2022-08-06,2022,4548.0,0,1,25,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V002389,P00712,Peds,Mississippi,Southeast,Rural,2024,2019-10-11,2019,6080.0,0,0,28,0,Non-compliant,Compliant,Compliant,Compliant,Compliant
V003195,P00933,Public Health Clinic,Virginia,Mid-Atlantic,Rural,2024,2019-08-25,2019,2583.0,1,0,43,0,Non-compliant,Compliant,Compliant,Compliant,Non-compliant
V004514,P01316,Retail Pharmacy,Mississippi,Southeast,Urban,2020,2021-12-04,2021,949.0,0,0,9,0,Compliant,Missing,Compliant,Compliant,Compliant
V004391,P01283,Pharmacy,Georgia,Southeast,Urban,2013,2021-04-22,2021,935.0,0,1,38,1,Compliant,Compliant,Compliant,Compliant,Compliant
V000752,P00217,Hospital,Louisiana,South Central,urban ,2020,2019-04-13,2019,,0,1,4,0,Compliant,Non-compliant,Compliant,Compliant,Compliant
V003972,P01158,pharmacy,South Carolina,Southeast,Suburban,2014,2022-08-07,2022,922.0,0,1,12,1,Compliant,Compliant,Compliant,Compliant,Compliant
V003940,P01150,Public Health Clinic,Kentucky,Southeast,Suburban,2016,2020-01-15,2020,6714.0,0,1,22,1,Compliant,Non-compliant,Non-compliant,Non-compliant,Missing
V001934,P00568,Pediatric Practice,Florida,Southeast,Urban,2018,2024-07-26,2024,2911.0,1,0,34,1,Missing,Compliant,Non-compliant,Compliant,Non-compliant
V000455,P00131,Public Health Clinic,Virginia,Mid-Atlantic,Urban,2014,2019-07-26,2019,4486.0,0,1,19,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002408,P00717,Pediatric Practice,Georgia,Southeast,Rural,2013,2020-10-16,2020,3188.0,0,1,31,1,Non-compliant,Compliant,Compliant,Compliant,Compliant
V001607,P00468,Public Health Clinic,Tennessee,Southeast,Suburban,2021,2020-10-04,2020,2699.0,0,0,18,0,Compliant,Compliant,Non-compliant,Compliant,Compliant
V000391,P00114,Hospital System,South Carolina,Southeast,Rural,2022,2023-01-06,2023,2609.0,0,0,39,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
V000572,P00169,Private Clinic,Georgia,Southeast,Suburban,2019,2025-01-10,2025,1678.0,0,1,36,1,Compliant,Compliant,Compliant,Non-compliant,Compliant
V002674,P00788,Pediatric Practice,Alabama,Southeast,Urban,2022,2024-07-13,2024,2685.0,0,1,27,1,Compliant,Compliant,Compliant,Compliant,Compliant
V000925,P00263,Pediatric Practice,Georgia,Southeast,Rural,2011,2025-10-14,2025,4339.0,1,1,40,1,Compliant,Compliant,Compliant,Compliant,Missing
V002251,P00668,Pharmacy,Kentucky,Southeast,Urban,2023,2022-11-20,2022,1445.0,1,1,45,1,Compliant,Compliant,Non-compliant,Non-compliant,Compliant
V002029,P00600,Pharmacy,Mississippi,Southeast,Urban,2018,2020-09-08,2020,1192.0,0,1,9,1,Compliant,Compliant,Compliant,Compliant,Compliant
V003834,P01118,Public Health Clinic,Virginia,Mid-Atlantic,Urban,2011,2022-07-15,2022,5884.0,0,0,20,1,Compliant,Compliant,Compliant,Compliant,Compliant
V001811,P00530,Pediatric Practice,Mississippi,Southeast,Rural,2023,2023-08-04,2023,1887.0,0,1,26,0,Missing,Compliant,Compliant,Compliant,Non-compliant
V000244,P00070,FQHC,Arkansas,South Central,Urban,2021,2022-08-25,2022,2118.0,0,0,12,1,Compliant,Missing,Compliant,Compliant,Compliant
V001190,P00340,private clinic ,Florida,Southeast,rural ,2022,2022-03-11,2022,1325.0,0,0,39,0,Compliant,Non-compliant,Compliant,Non-compliant,Compliant
V004110,P01202,Private Clinic,Virginia,Mid-Atlantic,Rural,2012,2019-06-17,2019,1721.0,0,0,36,0,Compliant,Compliant,Missing,Compliant,Compliant
V002512,P00744,Private Clinic,Texas,South Central,Rural,2018,2020-04-15,2020,1854.0,0,0,20,0,Non-compliant,Compliant,Non-compliant,Compliant,Non-compliant
V004067,P01185,Public clinic,Louisiana,South Central,Rural,2018,2023-11-08,2023,2991.0,0,0,30,0,Missing,Compliant,Compliant,Compliant,Compliant
V000799,P00229,Peds,Tennessee,Southeast,Rural,2019,2021-09-25,2021,3274.0,0,0,26,0,Compliant,Compliant,Compliant,Non-compliant,Compliant
V003140,P00918,Private Clinic,South Carolina,Southeast,Rural,2013,2023-07-27,2023,1551.0,1,1,33,1,Compliant,Compliant,Compliant,Compliant,Compliant
V002759,P00813,Public Health Clinic,Georgia,Southeast,Rural,2019,2022-04-15,2022,3772.0,0,0,20,0,Compliant,Compliant,Compliant,Compliant,Compliant
V000607,P00179,Private Clinic,Georgia,Southeast,Rural,2020,2020-06-25,2020,2190.0,0,0,23,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002885,P00847,Public Health Clinic,North Carolina,Southeast,Suburban,2018,2023-02-27,2023,3474.0,0,0,17,1,Compliant,Compliant,Compliant,Missing,Compliant
V003036,P00887,Public Health Clinic,Texas,South Central,Rural,2014,2024-02-06,2024,3136.0,0,1,24,1,Compliant,Compliant,Compliant,Compliant,Compliant
V004095,P01196,Pediatric Practice,Alabama,Southeast,Urban,2023,2022-02-12,2022,4968.0,0,0,17,0,Compliant,Non-compliant,Compliant,Compliant,Compliant
V002628,P00779,Public Health Clinic,Georgia,Southeast,Urban,2014,2019-02-15,2019,5506.0,0,0,22,0,Missing,Compliant,Compliant,Compliant,Compliant
V002858,P00839,Pharmacy,Louisiana,South Central,Urban,2023,2021-04-11,2021,1226.0,0,0,42,0,Compliant,Compliant,Non-compliant,Compliant,Non-compliant
V004346,P01269,FQHC,Louisiana,South Central,Urban,2014,2022-08-05,2022,1319.0,0,0,6,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V002071,P00614,Retail Pharmacy,Arkansas,South Central,Urban,2016,2022-01-16,2022,1476.0,1,0,18,1,Non-compliant,Compliant,Non-compliant,Non-compliant,Non-compliant
V003250,P00953,Public Health Clinic,,Southeast,Rural,2013,2019-06-13,2019,2149.0,0,0,45,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002907,P00852,Hospital,North Carolina,Southeast,Urban,2022,2022-01-01,2022,6558.0,1,1,33,1,Compliant,Compliant,Compliant,Compliant,Compliant
V002575,P00763,Private Clinic,Louisiana,South Central,Rural,2023,2020-04-11,2020,1585.0,1,1,30,0,Compliant,Missing,Compliant,Compliant,Compliant
V001506,P00437,Public Health Clinic,Georgia,Southeast,Urban,2024,2021-01-17,2021,3938.0,0,1,21,0,Compliant,Compliant,Compliant,Missing,Compliant
V003314,P00972,Pediatric Practice,Louisiana,South Central,urban ,2011,2020-08-08,2020,2955.0,0,1,21,0,Compliant,Compliant,Compliant,Compliant,Non-compliant
V002871,P00842,Private Clinic,Kentucky,Southeast,Suburban,2024,2020-02-27,2020,1136.0,0,1,26,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V002141,P00636,Public Health Clinic,South Carolina,Southeast,Urban,2019,2024-03-18,2024,1492.0,0,0,32,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001345,P00384,Priv Clinic,Florida,Southeast,Rural,2024,2025-10-07,2025,2582.0,0,0,13,1,Compliant,Compliant,Compliant,Compliant,Compliant
V001602,P00467,public health clinic,Texas,South Central,Urban,2014,2022-05-01,2022,3673.0,0,0,24,0,Compliant,Compliant,Compliant,Non-compliant,Compliant
V003093,P00902,Public Health Clinic,Mississippi,Southeast,Suburban,2012,2022-05-21,2022,2560.0,0,0,38,0,Compliant,Compliant,Non-compliant,Compliant,Compliant
V003097,P00903,Public Health Clinic,Louisiana,South Central,Rural,2023,2025-01-09,2025,3388.0,1,1,28,1,Compliant,Non-compliant,Compliant,Compliant,Compliant
V004392,P01283,Pharmacy,Georgia,Southeast,Urban,2013,2022-12-05,2022,571.0,1,1,43,1,Compliant,Compliant,Compliant,Compliant,Compliant
V001937,P00569,Pharmacy,Florida,Southeast,Urban,2024,2024-06-09,2024,2381.0,0,0,30,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
V004540,P01322,FQHC,Mississippi,Southeast,Urban,2014,2025-04-14,2025,926.0,0,0,20,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
V003959,P01155,Public Health Clinic,Florida,Southeast,Urban,2024,2022-07-20,2022,6210.0,0,1,19,1,Compliant,Missing,Non-compliant,Compliant,Compliant
V002358,P00701,FQHC,Texas,South Central,Suburban,2024,2024-01-22,2024,1355.0,1,0,30,1,Non-compliant,Compliant,Non-compliant,Compliant,Compliant
V004257,P01247,private clinic ,Louisiana,South Central,Suburban,2014,2020-11-04,2020,854.0,0,1,26,1,Non-compliant,Non-compliant,Non-compliant,Compliant,Non-compliant
V003627,P01059,Private Clinic,Arkansas,South Central,Urban,2019,2020-09-19,2020,2127.0,1,1,33,0,Compliant,Compliant,Non-compliant,Compliant,Compliant
V003356,P00984,public health clinic,Tennessee,Southeast,Urban,2023,2019-06-15,2019,2872.0,1,0,34,0,Compliant,Compliant,Compliant,Compliant,Compliant
V000218,P00061,FQHC,Alabama,Southeast,Urban,2014,2020-08-03,2020,1821.0,0,0,9,0,Compliant,Compliant,Compliant,Non-compliant,Compliant
V001414,P00405,FQHC,Texas,South Central,Suburban,2022,2024-07-10,2024,4161.0,0,1,12,0,Compliant,Compliant,Non-compliant,Compliant,Compliant
V002022,P00597,Private Clinic,Alabama,Southeast,Urban,2024,2023-04-06,2023,2470.0,0,0,33,1,Compliant,Compliant,Compliant,Compliant,Compliant
V000715,P00208,Public Health Clinic,North Carolina,Southeast,Rural,2023,2025-10-21,2025,2606.0,0,1,17,1,Non-compliant,Compliant,Compliant,Compliant,Compliant
V001924,P00565,Private Clinic,Florida,Southeast,Rural,2021,2024-03-10,2024,2915.0,0,1,28,1,Missing,Compliant,Compliant,Compliant,Compliant
V003795,P01107,Pediatric Practice,Kentucky,Southeast,Urban,2019,2020-06-23,2020,1327.0,0,0,42,0,Non-compliant,Compliant,Compliant,Compliant,Compliant
V000178,P00051,Private Clinic,Alabama,Southeast,Rural,2018,2024-08-08,2024,1258.0,1,1,30,1,Compliant,Compliant,Non-compliant,Compliant,Non-compliant
V001685,P00491,Private Clinic,Mississippi,Southeast,Suburban,2013,2019-04-06,2019,1809.0,0,0,9,0,Compliant,Non-compliant,Compliant,Compliant,Compliant
V002939,P00861,Private Clinic,Virginia,Mid-Atlantic,rural ,2014,2020-09-04,2020,1080.0,0,0,32,1,Compliant,Missing,Compliant,Compliant,Compliant
V000219,P00061,FQHC,Alabama,Southeast,Urban,2014,2021-09-09,2021,947.0,0,0,9,1,Compliant,Compliant,Non-compliant,Non-compliant,Compliant
V001361,P00390,public health clinic,Texas,South Central,Urban,2017,2024-12-21,2024,4549.0,0,1,28,1,Compliant,Compliant,Missing,Compliant,Compliant
V002986,P00875,Private Clinic,Florida,Southeast,Rural,2023,2022-03-18,2022,786.0,1,1,27,1,Missing,Compliant,Compliant,Compliant,Non-compliant
V003964,P01156,Private Clinic,Kentucky,Southeast,Urban,2015,2021-07-13,2021,1458.0,1,1,43,0,Compliant,Compliant,Compliant,Non-compliant,Non-compliant
V000514,P00150,FQHC,Mississippi,Southeast,Rural,2020,2025-10-14,2025,739.0,0,0,39,1,Missing,Compliant,Compliant,Compliant,Compliant
V000574,P00170,Private Clinic,Arkansas,South Central,Urban,2023,2021-07-27,2021,1620.0,0,0,26,0,Compliant,Non-compliant,Compliant,Compliant,Non-compliant
V001651,P00481,Hospital,North Carolina,Southeast,Rural,2022,2020-02-22,2020,2610.0,0,0,21,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001167,P00333,public health clinic,Florida,Southeast,Rural,2020,2020-01-01,2020,2333.0,0,0,20,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V003516,P01028,Pediatric Practice,South Carolina,Southeast,Suburban,2018,2023-01-08,2023,1454.0,1,0,41,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002312,P00684,Private Clinic,Mississippi,Southeast,Urban,2016,2024-03-08,2024,617.0,0,1,25,1,Compliant,Compliant,Compliant,Compliant,Compliant
V003799,P01108,FQHC,Florida,Southeast,Rural,2019,2022-11-27,2022,1810.0,0,0,0,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002132,P00634,Pharmacy,Tennessee,Southeast,Suburban,2017,2020-01-12,2020,921.0,1,0,27,0,Compliant,Compliant,Compliant,Missing,Compliant
V001385,P00398,Pharmacy,Texas,South Central,Rural,2021,2019-01-27,2019,1087.0,0,0,35,0,Compliant,Compliant,Compliant,Non-compliant,Compliant
V002595,P00768,Pharmacy,Louisiana,South Central,Rural,2012,2025-03-05,2025,1464.0,0,0,28,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001266,P00363,Pharmacy,South Carolina,Southeast,Urban,2011,2019-09-25,2019,941.0,0,0,27,0,Compliant,Non-compliant,Compliant,Compliant,Compliant
V003981,P01161,Public Health Clinic,North Carolina,Southeast,Rural,2022,2025-05-07,2025,3594.0,0,0,24,1,Compliant,Compliant,Compliant,Compliant,Compliant
V000943,P00268,private clinic ,South Carolina,Southeast,Rural,2024,2022-08-26,2022,1013.0,1,1,53,1,Non-compliant,Non-compliant,Non-compliant,Compliant,Compliant
V002798,P00825,Private Clinic,Alabama,Southeast,Suburban,2018,2023-09-12,2023,1922.0,1,1,20,1,Compliant,Non-compliant,Missing,Non-compliant,Non-compliant
V002437,P00724,Private Clinic,Alabama,Southeast,Urban,2011,2023-05-05,2023,3185.0,0,1,47,1,Compliant,Compliant,Compliant,Non-compliant,Compliant
V001762,P00513,Hospital,Mississippi,Southeast,Rural,2021,2023-12-07,2023,2698.0,0,0,20,1,Compliant,Compliant,Compliant,Non-compliant,Missing
V003315,P00972,Pediatric Practice,Louisiana,South Central,urban ,2011,2021-07-04,2021,2469.0,0,1,26,1,Compliant,Compliant,Compliant,Compliant,Compliant
V001899,P00560,Hospital,North Carolina,Southeast,Urban,2014,2020-08-11,2020,4494.0,0,0,29,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001988,P00586,public health clinic,Texas,South Central,Urban,2014,2019-01-23,2019,1897.0,1,1,42,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002109,P00627,FQHC,Virginia,Mid-Atlantic,Suburban,2019,2022-03-27,2022,1247.0,1,1,47,1,Compliant,Compliant,Compliant,Compliant,Compliant
V002752,P00811,Public Health Clinic,Kentucky,Southeast,Urban,2018,2024-07-06,2024,5466.0,0,1,17,1,Compliant,Non-compliant,Compliant,Compliant,Compliant
V003778,P01104,Pediatric practice,Kentucky,Southeast,Suburban,2017,2022-03-23,2022,1690.0,0,1,36,0,Compliant,Compliant,Compliant,Compliant,Compliant
V000176,P00051,Private Clinic,Alabama,Southeast,Rural,2018,2020-01-11,2020,1513.0,1,0,31,0,Compliant,Compliant,Compliant,Missing,Compliant
V000682,P00200,Pharmacy,Alabama,Southeast,Urban,2019,2021-04-25,2021,1490.0,1,0,36,0,Compliant,Compliant,Non-compliant,Missing,Compliant
V000606,P00178,Pediatric Practice,Mississippi,Southeast,urban ,2013,2025-09-19,2025,12133.0,1,1,35,1,Compliant,Compliant,Non-compliant,Compliant,Compliant
V002794,P00824,Retail Pharmacy,South Carolina,Southeast,Rural,2024,2024-12-03,2024,716.0,1,0,34,0,Compliant,Compliant,Compliant,Compliant,Missing
V001154,P00329,Pharmacy,Mississippi,Southeast,Rural,2023,2025-10-20,2025,1363.0,1,1,8,1,Compliant,Non-compliant,Compliant,Non-compliant,Compliant
V001375,P00395,Private Clinic,Kentucky,Southeast,Rural,2015,2025-08-24,2025,2539.0,0,1,5,1,Compliant,Compliant,Compliant,Compliant,Compliant
V004042,P01178,Public Health Clinic,Florida,Southeast,Suburban,2013,2023-01-26,2023,2257.0,1,0,27,1,Non-compliant,Non-compliant,Compliant,Compliant,Compliant
